found vocab_size = 67 (inside data/shakespeare_char_sft_A/meta.pkl)
Resuming training from out
number of parameters: 10.65M
Applying LoRA (PEFT)...
trainable params before lora: 10696704
trainable params after lora: 18432
/Users/rabiaciftci/Desktop/NLP/A.NLP./nanogpt-lora/nanoGPT/train.py:240: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_cuda)
num decayed parameter tensors: 12, with 18,432 parameters
num non-decayed parameter tensors: 0, with 0 parameters
using fused AdamW: False
iter 1850: loss 0.9423, time 142.38ms, mfu 0.59%
iter 1860: loss 0.8762, time 145.18ms, mfu 0.59%
iter 1870: loss 1.0066, time 143.08ms, mfu 0.59%
iter 1880: loss 0.8402, time 143.06ms, mfu 0.60%
iter 1890: loss 0.8083, time 144.24ms, mfu 0.60%
iter 1900: loss 0.9035, time 144.00ms, mfu 0.60%
iter 1910: loss 0.8901, time 144.18ms, mfu 0.60%
iter 1920: loss 0.8794, time 143.12ms, mfu 0.60%
iter 1930: loss 0.8693, time 142.81ms, mfu 0.61%
iter 1940: loss 0.8859, time 143.54ms, mfu 0.61%
iter 1950: loss 0.9598, time 143.57ms, mfu 0.61%
iter 1960: loss 0.9716, time 144.51ms, mfu 0.61%
iter 1970: loss 0.8252, time 143.51ms, mfu 0.61%
iter 1980: loss 0.8309, time 145.06ms, mfu 0.61%
iter 1990: loss 0.7731, time 142.99ms, mfu 0.61%
[CSV] logged step 2000 for A_r2
step 2000: train loss 0.8771, val loss 0.8843
saving checkpoint to out
iter 2000: loss 0.9700, time 1105.49ms, mfu 0.56%
iter 2010: loss 0.8716, time 143.51ms, mfu 0.56%
iter 2020: loss 1.0288, time 143.59ms, mfu 0.57%
iter 2030: loss 1.0110, time 146.93ms, mfu 0.57%
iter 2040: loss 1.0526, time 145.62ms, mfu 0.58%
iter 2050: loss 0.9322, time 144.69ms, mfu 0.58%
iter 2060: loss 1.0982, time 145.42ms, mfu 0.58%
iter 2070: loss 0.8596, time 145.52ms, mfu 0.59%
iter 2080: loss 0.8311, time 145.17ms, mfu 0.59%
iter 2090: loss 0.7682, time 145.62ms, mfu 0.59%
iter 2100: loss 0.8658, time 146.67ms, mfu 0.59%
iter 2110: loss 0.9735, time 148.17ms, mfu 0.59%
iter 2120: loss 0.8500, time 157.63ms, mfu 0.59%
iter 2130: loss 0.7747, time 152.54ms, mfu 0.59%
iter 2140: loss 0.8619, time 149.45ms, mfu 0.59%
iter 2150: loss 0.9117, time 149.41ms, mfu 0.59%
iter 2160: loss 0.7313, time 150.31ms, mfu 0.59%
iter 2170: loss 0.7559, time 151.87ms, mfu 0.59%
iter 2180: loss 0.8482, time 161.39ms, mfu 0.58%
iter 2190: loss 0.8441, time 162.05ms, mfu 0.58%
[CSV] logged step 2200 for A_r2
step 2200: train loss 0.8644, val loss 0.8936
saving checkpoint to out
iter 2200: loss 0.9331, time 1187.27ms, mfu 0.53%
iter 2210: loss 0.9432, time 179.75ms, mfu 0.53%
iter 2220: loss 0.9482, time 158.51ms, mfu 0.53%
iter 2230: loss 0.7403, time 158.85ms, mfu 0.53%
iter 2240: loss 0.8184, time 161.07ms, mfu 0.53%
iter 2250: loss 0.9128, time 158.34ms, mfu 0.54%
iter 2260: loss 0.9360, time 159.49ms, mfu 0.54%
iter 2270: loss 0.9989, time 158.30ms, mfu 0.54%
iter 2280: loss 0.9153, time 159.96ms, mfu 0.54%
iter 2290: loss 1.0301, time 162.85ms, mfu 0.54%
iter 2300: loss 0.9776, time 162.20ms, mfu 0.54%
iter 2310: loss 0.8893, time 163.63ms, mfu 0.54%
iter 2320: loss 0.8661, time 166.26ms, mfu 0.54%
iter 2330: loss 0.8481, time 166.80ms, mfu 0.54%
iter 2340: loss 0.8373, time 166.33ms, mfu 0.54%
iter 2350: loss 0.8347, time 166.20ms, mfu 0.54%
iter 2360: loss 1.0377, time 166.74ms, mfu 0.54%
iter 2370: loss 0.9313, time 166.77ms, mfu 0.54%
iter 2380: loss 0.9323, time 165.21ms, mfu 0.54%
iter 2390: loss 0.8698, time 167.19ms, mfu 0.54%
[CSV] logged step 2400 for A_r2
step 2400: train loss 0.8556, val loss 0.8876
saving checkpoint to out
iter 2400: loss 1.0092, time 1211.78ms, mfu 0.49%
iter 2410: loss 0.8370, time 170.79ms, mfu 0.49%
iter 2420: loss 0.8493, time 170.45ms, mfu 0.50%
iter 2430: loss 0.7758, time 169.38ms, mfu 0.50%
iter 2440: loss 0.7899, time 170.11ms, mfu 0.50%
iter 2450: loss 1.0013, time 170.75ms, mfu 0.50%
iter 2460: loss 0.9004, time 173.18ms, mfu 0.50%
iter 2470: loss 0.6643, time 172.42ms, mfu 0.50%
iter 2480: loss 1.0079, time 170.44ms, mfu 0.51%
iter 2490: loss 0.8580, time 171.09ms, mfu 0.51%
iter 2500: loss 0.7162, time 172.13ms, mfu 0.51%
iter 2510: loss 0.8291, time 172.43ms, mfu 0.51%
iter 2520: loss 0.8734, time 172.56ms, mfu 0.51%
iter 2530: loss 0.8874, time 173.14ms, mfu 0.51%
iter 2540: loss 0.7367, time 175.56ms, mfu 0.51%
iter 2550: loss 0.7364, time 172.62ms, mfu 0.51%
iter 2560: loss 0.8063, time 198.96ms, mfu 0.50%
iter 2570: loss 0.8419, time 181.28ms, mfu 0.50%
iter 2580: loss 0.8700, time 179.02ms, mfu 0.50%
iter 2590: loss 0.8224, time 235.19ms, mfu 0.49%
[CSV] logged step 2600 for A_r2
step 2600: train loss 0.8750, val loss 0.9048
