Overriding config with config/finetune_shakespeare_sft_A.py:
import time

init_from = 'resume'        
out_dir = 'out-shakespeare-sft_A'  
dataset = 'shakespeare_char_sft_A'  



eval_interval = 5
eval_iters = 40
wandb_log = False # feel free to turn on
wandb_project = 'shakespeare'
wandb_run_name = 'ft-' + str(time.time())

# only save checkpoints if the validation loss improves
always_save_checkpoint = False
block_size = 128


# the number of examples per iter:
# 1 batch_size * 32 grad_accum * 1024 tokens = 32,768 tokens/iter
# shakespeare has 301,966 tokens, so 1 epoch ~= 9.2 iters
batch_size = 1
gradient_accumulation_steps = 32
# max_iters = 20

# finetune at constant LR
# learning_rate = 3e-5
decay_lr = False
compile = False

max_iters = 2000            
learning_rate = 1e-4
device = "mps"

block_size = 128 # from pretraining
tokens per iteration will be: 4,096
found vocab_size = 67 (inside data/shakespeare_char_sft_A/meta.pkl)
Resuming training from out-shakespeare-sft_A
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,691,712 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 1080: train loss 0.7960, val loss 0.8187
saving checkpoint to out-shakespeare-sft_A
iter 1080: loss 0.7156, time 1327.83ms, mfu 0.16%
iter 1081: loss 0.6949, time 466.27ms, mfu 0.16%
iter 1082: loss 0.8706, time 461.88ms, mfu 0.17%
iter 1083: loss 0.5030, time 460.96ms, mfu 0.17%
iter 1084: loss 0.5431, time 459.79ms, mfu 0.17%
step 1085: train loss 0.7933, val loss 0.8528
iter 1085: loss 0.5545, time 1013.44ms, mfu 0.16%
iter 1086: loss 0.8506, time 459.87ms, mfu 0.17%
iter 1087: loss 0.6308, time 463.06ms, mfu 0.17%
iter 1088: loss 0.5902, time 461.38ms, mfu 0.17%
iter 1089: loss 0.7550, time 464.92ms, mfu 0.17%
step 1090: train loss 0.7575, val loss 0.9065
iter 1090: loss 0.6325, time 926.60ms, mfu 0.17%
iter 1091: loss 0.9036, time 460.85ms, mfu 0.17%
iter 1092: loss 0.8788, time 466.91ms, mfu 0.17%
iter 1093: loss 0.6740, time 465.32ms, mfu 0.17%
iter 1094: loss 0.7155, time 464.20ms, mfu 0.17%
step 1095: train loss 0.7975, val loss 0.8106
saving checkpoint to out-shakespeare-sft_A
iter 1095: loss 0.8411, time 1200.44ms, mfu 0.16%
iter 1096: loss 0.6844, time 466.50ms, mfu 0.17%
iter 1097: loss 0.9499, time 460.90ms, mfu 0.17%
iter 1098: loss 0.6587, time 460.61ms, mfu 0.17%
iter 1099: loss 0.6703, time 461.93ms, mfu 0.17%
step 1100: train loss 0.7809, val loss 0.8397
iter 1100: loss 0.9054, time 929.00ms, mfu 0.17%
iter 1101: loss 0.7896, time 469.84ms, mfu 0.17%
iter 1102: loss 0.9466, time 464.57ms, mfu 0.17%
iter 1103: loss 1.0664, time 482.27ms, mfu 0.17%
iter 1104: loss 0.7699, time 467.04ms, mfu 0.17%
step 1105: train loss 0.8089, val loss 0.8600
iter 1105: loss 0.8788, time 888.01ms, mfu 0.17%
iter 1106: loss 0.9522, time 464.21ms, mfu 0.17%
iter 1107: loss 0.7360, time 463.16ms, mfu 0.17%
iter 1108: loss 0.8766, time 465.40ms, mfu 0.17%
iter 1109: loss 0.8654, time 465.73ms, mfu 0.17%
step 1110: train loss 0.7698, val loss 0.8488
iter 1110: loss 1.0187, time 906.89ms, mfu 0.17%
iter 1111: loss 0.8868, time 462.21ms, mfu 0.17%
iter 1112: loss 0.7899, time 460.02ms, mfu 0.17%
iter 1113: loss 0.7666, time 534.82ms, mfu 0.17%
iter 1114: loss 0.7380, time 511.14ms, mfu 0.17%
step 1115: train loss 0.8155, val loss 0.8679
iter 1115: loss 0.6922, time 953.62ms, mfu 0.16%
iter 1116: loss 0.7617, time 481.96ms, mfu 0.17%
iter 1117: loss 0.8261, time 510.18ms, mfu 0.17%
iter 1118: loss 0.7911, time 468.74ms, mfu 0.17%
iter 1119: loss 0.7623, time 478.70ms, mfu 0.17%
step 1120: train loss 0.7852, val loss 0.8336
iter 1120: loss 0.6881, time 983.39ms, mfu 0.16%
iter 1121: loss 0.9306, time 462.97ms, mfu 0.16%
iter 1122: loss 0.8227, time 459.14ms, mfu 0.17%
iter 1123: loss 0.9579, time 491.29ms, mfu 0.17%
iter 1124: loss 0.9221, time 506.58ms, mfu 0.17%
step 1125: train loss 0.8064, val loss 0.8200
iter 1125: loss 0.6960, time 1026.95ms, mfu 0.16%
iter 1126: loss 0.7210, time 464.92ms, mfu 0.16%
iter 1127: loss 0.6877, time 499.35ms, mfu 0.17%
