Overriding config with config/finetune_shakespeare_sft_A.py:
import time

init_from = 'resume'        
out_dir = 'out-shakespeare-sft_A'  
dataset = 'shakespeare_char_sft_A'  



eval_interval = 5
eval_iters = 40
wandb_log = False # feel free to turn on
wandb_project = 'shakespeare'
wandb_run_name = 'ft-' + str(time.time())

# only save checkpoints if the validation loss improves
always_save_checkpoint = False
block_size = 128


# the number of examples per iter:
# 1 batch_size * 32 grad_accum * 1024 tokens = 32,768 tokens/iter
# shakespeare has 301,966 tokens, so 1 epoch ~= 9.2 iters
batch_size = 1
gradient_accumulation_steps = 32
# max_iters = 20

# finetune at constant LR
# learning_rate = 3e-5
decay_lr = False
compile = False

max_iters = 3000            
learning_rate = 1e-4
device = "mps"

block_size = 128 # from pretraining
tokens per iteration will be: 4,096
found vocab_size = 67 (inside data/shakespeare_char_sft_A/meta.pkl)
Resuming training from out-shakespeare-sft_A
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,691,712 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 1169: loss 0.4971, time 459.11ms, mfu 0.18%
step 1170: train loss 0.7417, val loss 0.8507
iter 1170: loss 0.5075, time 852.69ms, mfu 0.17%
iter 1171: loss 0.7794, time 459.88ms, mfu 0.17%
iter 1172: loss 0.5478, time 460.36ms, mfu 0.17%
iter 1173: loss 0.5486, time 458.75ms, mfu 0.18%
iter 1174: loss 0.7152, time 462.63ms, mfu 0.18%
step 1175: train loss 0.7002, val loss 0.9064
iter 1175: loss 0.5314, time 1333.99ms, mfu 0.17%
iter 1176: loss 0.7749, time 459.02ms, mfu 0.17%
iter 1177: loss 0.8153, time 462.68ms, mfu 0.17%
iter 1178: loss 0.6403, time 458.83ms, mfu 0.17%
iter 1179: loss 0.6633, time 459.21ms, mfu 0.18%
step 1180: train loss 0.7306, val loss 0.8145
iter 1180: loss 0.8121, time 876.14ms, mfu 0.17%
iter 1181: loss 0.6522, time 461.81ms, mfu 0.17%
iter 1182: loss 0.9137, time 460.06ms, mfu 0.17%
iter 1183: loss 0.6141, time 457.92ms, mfu 0.17%
iter 1184: loss 0.5898, time 458.30ms, mfu 0.18%
step 1185: train loss 0.7222, val loss 0.8436
iter 1185: loss 0.8338, time 844.72ms, mfu 0.17%
iter 1186: loss 0.7291, time 459.42ms, mfu 0.17%
iter 1187: loss 0.8343, time 459.11ms, mfu 0.17%
iter 1188: loss 1.0041, time 461.06ms, mfu 0.18%
iter 1189: loss 0.7367, time 458.02ms, mfu 0.18%
step 1190: train loss 0.7500, val loss 0.8625
iter 1190: loss 0.8210, time 853.06ms, mfu 0.17%
iter 1191: loss 0.7720, time 459.80ms, mfu 0.17%
iter 1192: loss 0.7221, time 458.78ms, mfu 0.17%
iter 1193: loss 0.8242, time 456.30ms, mfu 0.18%
iter 1194: loss 0.8308, time 456.17ms, mfu 0.18%
step 1195: train loss 0.7219, val loss 0.8543
iter 1195: loss 0.9639, time 854.89ms, mfu 0.17%
iter 1196: loss 0.8305, time 456.84ms, mfu 0.17%
iter 1197: loss 0.7278, time 456.95ms, mfu 0.18%
iter 1198: loss 0.7173, time 458.33ms, mfu 0.18%
iter 1199: loss 0.6787, time 457.40ms, mfu 0.18%
step 1200: train loss 0.7588, val loss 0.8727
iter 1200: loss 0.6161, time 901.99ms, mfu 0.17%
iter 1201: loss 0.6827, time 457.20ms, mfu 0.17%
iter 1202: loss 0.7293, time 456.37ms, mfu 0.17%
iter 1203: loss 0.7896, time 456.98ms, mfu 0.18%
iter 1204: loss 0.7229, time 457.91ms, mfu 0.18%
step 1205: train loss 0.7296, val loss 0.8358
iter 1205: loss 0.6722, time 862.68ms, mfu 0.17%
iter 1206: loss 0.8497, time 465.15ms, mfu 0.17%
iter 1207: loss 0.7440, time 459.53ms, mfu 0.17%
iter 1208: loss 0.9155, time 456.82ms, mfu 0.18%
iter 1209: loss 0.9026, time 457.23ms, mfu 0.18%
step 1210: train loss 0.7480, val loss 0.8237
iter 1210: loss 0.6639, time 846.52ms, mfu 0.17%
iter 1211: loss 0.6796, time 456.84ms, mfu 0.17%
iter 1212: loss 0.6743, time 452.61ms, mfu 0.18%
iter 1213: loss 0.5370, time 464.03ms, mfu 0.18%
iter 1214: loss 0.6946, time 458.01ms, mfu 0.18%
step 1215: train loss 0.7022, val loss 0.8964
iter 1215: loss 0.8662, time 872.58ms, mfu 0.17%
iter 1216: loss 0.8059, time 457.74ms, mfu 0.17%
iter 1217: loss 1.0601, time 457.68ms, mfu 0.18%
iter 1218: loss 0.7429, time 457.55ms, mfu 0.18%
iter 1219: loss 0.7571, time 457.37ms, mfu 0.18%
step 1220: train loss 0.7059, val loss 0.8777
iter 1220: loss 0.6284, time 878.45ms, mfu 0.17%
iter 1221: loss 1.0147, time 457.23ms, mfu 0.17%
iter 1222: loss 0.6805, time 457.43ms, mfu 0.18%
iter 1223: loss 0.9185, time 457.09ms, mfu 0.18%
iter 1224: loss 0.7043, time 456.96ms, mfu 0.18%
step 1225: train loss 0.7051, val loss 0.8444
iter 1225: loss 0.6067, time 896.53ms, mfu 0.17%
iter 1226: loss 0.7137, time 457.28ms, mfu 0.17%
iter 1227: loss 0.5960, time 456.87ms, mfu 0.18%
iter 1228: loss 0.6638, time 472.91ms, mfu 0.18%
iter 1229: loss 0.6314, time 457.88ms, mfu 0.18%
step 1230: train loss 0.6594, val loss 0.8716
iter 1230: loss 0.6930, time 840.50ms, mfu 0.17%
iter 1231: loss 0.6684, time 461.64ms, mfu 0.17%
iter 1232: loss 0.5577, time 457.58ms, mfu 0.17%
iter 1233: loss 0.6354, time 459.92ms, mfu 0.18%
iter 1234: loss 0.9309, time 457.41ms, mfu 0.18%
step 1235: train loss 0.6579, val loss 0.8787
iter 1235: loss 0.9063, time 866.73ms, mfu 0.17%
iter 1236: loss 0.8972, time 465.58ms, mfu 0.17%
iter 1237: loss 0.7977, time 456.66ms, mfu 0.17%
iter 1238: loss 0.5747, time 463.64ms, mfu 0.18%
iter 1239: loss 0.8815, time 457.86ms, mfu 0.18%
step 1240: train loss 0.6820, val loss 0.8564
iter 1240: loss 0.7086, time 853.76ms, mfu 0.17%
iter 1241: loss 0.7735, time 458.12ms, mfu 0.17%
iter 1242: loss 0.7805, time 457.42ms, mfu 0.17%
iter 1243: loss 0.7718, time 457.63ms, mfu 0.18%
iter 1244: loss 0.7184, time 458.04ms, mfu 0.18%
step 1245: train loss 0.6859, val loss 0.8838
iter 1245: loss 0.7221, time 862.25ms, mfu 0.17%
iter 1246: loss 1.0667, time 461.79ms, mfu 0.17%
iter 1247: loss 0.6589, time 457.68ms, mfu 0.17%
iter 1248: loss 1.0118, time 461.58ms, mfu 0.18%
iter 1249: loss 0.5386, time 454.58ms, mfu 0.18%
step 1250: train loss 0.7055, val loss 0.8981
iter 1250: loss 0.8054, time 1010.04ms, mfu 0.17%
iter 1251: loss 0.7244, time 458.05ms, mfu 0.17%
iter 1252: loss 0.7634, time 461.05ms, mfu 0.17%
iter 1253: loss 0.4474, time 460.89ms, mfu 0.18%
iter 1254: loss 0.4903, time 457.66ms, mfu 0.18%
step 1255: train loss 0.6779, val loss 0.8335
iter 1255: loss 0.6632, time 851.03ms, mfu 0.17%
iter 1256: loss 0.5126, time 471.59ms, mfu 0.17%
iter 1257: loss 0.5514, time 476.08ms, mfu 0.17%
