found vocab_size = 67 (inside data/shakespeare_char_sft_A/meta.pkl)
Resuming training from out
number of parameters: 10.65M
Applying LoRA (PEFT)...
trainable params before lora: 10696704
trainable params after lora: 73728
/Users/rabiaciftci/Desktop/NLP/A.NLP./nanogpt-lora/nanoGPT/train.py:240: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_cuda)
num decayed parameter tensors: 12, with 73,728 parameters
num non-decayed parameter tensors: 0, with 0 parameters
using fused AdamW: False
[CSV] logged step 1000 for A_r8
step 1000: train loss 3.7972, val loss 3.7453
saving checkpoint to out
iter 1000: loss 4.1762, time 1294.64ms, mfu -100.00%
iter 1010: loss 3.6265, time 141.82ms, mfu 0.63%
iter 1020: loss 2.6999, time 140.41ms, mfu 0.63%
iter 1030: loss 2.5311, time 141.30ms, mfu 0.63%
iter 1040: loss 2.3978, time 141.03ms, mfu 0.63%
iter 1050: loss 2.1352, time 141.43ms, mfu 0.63%
iter 1060: loss 1.8977, time 141.76ms, mfu 0.63%
iter 1070: loss 1.8292, time 142.64ms, mfu 0.63%
iter 1080: loss 1.6781, time 141.50ms, mfu 0.63%
iter 1090: loss 1.5699, time 142.11ms, mfu 0.63%
iter 1100: loss 1.3440, time 141.81ms, mfu 0.63%
iter 1110: loss 1.2648, time 142.28ms, mfu 0.63%
iter 1120: loss 1.3820, time 142.38ms, mfu 0.63%
iter 1130: loss 1.1430, time 142.59ms, mfu 0.63%
iter 1140: loss 1.0977, time 142.41ms, mfu 0.63%
iter 1150: loss 1.1430, time 143.21ms, mfu 0.63%
iter 1160: loss 0.9140, time 142.43ms, mfu 0.63%
iter 1170: loss 1.2076, time 145.41ms, mfu 0.63%
iter 1180: loss 1.0468, time 142.10ms, mfu 0.63%
iter 1190: loss 1.0025, time 142.46ms, mfu 0.63%
[CSV] logged step 1200 for A_r8
step 1200: train loss 0.9866, val loss 1.0179
saving checkpoint to out
iter 1200: loss 1.0284, time 1045.97ms, mfu 0.57%
iter 1210: loss 1.0122, time 143.19ms, mfu 0.58%
iter 1220: loss 0.9368, time 142.87ms, mfu 0.58%
iter 1230: loss 0.9813, time 142.74ms, mfu 0.59%
iter 1240: loss 0.9583, time 142.48ms, mfu 0.59%
iter 1250: loss 1.0039, time 144.15ms, mfu 0.59%
iter 1260: loss 0.8586, time 142.18ms, mfu 0.60%
iter 1270: loss 0.9097, time 142.34ms, mfu 0.60%
iter 1280: loss 1.0005, time 145.77ms, mfu 0.60%
iter 1290: loss 0.9123, time 142.59ms, mfu 0.60%
iter 1300: loss 0.8669, time 142.31ms, mfu 0.60%
iter 1310: loss 0.9619, time 143.59ms, mfu 0.61%
iter 1320: loss 0.9767, time 142.64ms, mfu 0.61%
iter 1330: loss 0.8705, time 142.57ms, mfu 0.61%
iter 1340: loss 0.9819, time 145.48ms, mfu 0.61%
iter 1350: loss 1.0360, time 142.86ms, mfu 0.61%
iter 1360: loss 0.8970, time 142.75ms, mfu 0.61%
iter 1370: loss 0.9161, time 143.45ms, mfu 0.61%
iter 1380: loss 0.8606, time 142.40ms, mfu 0.61%
iter 1390: loss 0.7936, time 142.94ms, mfu 0.62%
[CSV] logged step 1400 for A_r8
step 1400: train loss 0.8846, val loss 0.9141
saving checkpoint to out
iter 1400: loss 0.8444, time 1022.24ms, mfu 0.56%
iter 1410: loss 0.9841, time 145.19ms, mfu 0.57%
iter 1420: loss 0.8676, time 144.23ms, mfu 0.57%
iter 1430: loss 0.8896, time 142.59ms, mfu 0.58%
iter 1440: loss 0.7833, time 143.26ms, mfu 0.58%
iter 1450: loss 0.9742, time 146.62ms, mfu 0.58%
iter 1460: loss 0.8146, time 143.07ms, mfu 0.59%
iter 1470: loss 0.8219, time 142.91ms, mfu 0.59%
iter 1480: loss 0.8536, time 143.57ms, mfu 0.60%
iter 1490: loss 0.8586, time 141.95ms, mfu 0.60%
iter 1500: loss 1.0698, time 142.46ms, mfu 0.60%
iter 1510: loss 0.8544, time 142.99ms, mfu 0.60%
iter 1520: loss 0.9346, time 143.30ms, mfu 0.61%
iter 1530: loss 0.8343, time 143.24ms, mfu 0.61%
iter 1540: loss 0.8846, time 143.00ms, mfu 0.61%
iter 1550: loss 0.9113, time 143.50ms, mfu 0.61%
iter 1560: loss 0.8543, time 144.02ms, mfu 0.61%
iter 1570: loss 0.8951, time 142.94ms, mfu 0.61%
iter 1580: loss 0.7863, time 143.58ms, mfu 0.61%
iter 1590: loss 0.7793, time 143.36ms, mfu 0.61%
[CSV] logged step 1600 for A_r8
step 1600: train loss 0.8437, val loss 0.8919
saving checkpoint to out
iter 1600: loss 0.8753, time 1042.92ms, mfu 0.56%
