task,step,train_loss,val_loss,trainable_params
A_r1,1000,3.790147066116333,3.7364633083343506,9216
A_r1,1200,1.0785540342330933,1.0810861587524414,9216
A_r1,1400,0.9421956539154053,1.0001853704452515,9216
A_r1,1600,0.9296493530273438,0.9568557143211365,9216
A_r1,1800,0.9168573617935181,0.9411972165107727,9216
A_r1,2000,0.8891735672950745,0.9506202936172485,9216
A_r1,2200,0.9082968831062317,0.9133992195129395,9216
A_r1,2400,0.8852249383926392,0.9377235174179077,9216
A_r1,2600,0.8758563995361328,0.9166206121444702,9216
A_r1,2800,0.8887532949447632,0.916248083114624,9216
A_r1,3000,0.8624444603919983,0.9337700009346008,9216
task A_r1 time : 7.30 min

A_r2,1000,3.7962486743927,3.742574453353882,18432
A_r2,1200,1.0289900302886963,1.0670582056045532,18432
A_r2,1400,0.9266016483306885,0.9433680772781372,18432
A_r2,1600,0.89593106508255,0.9411576986312866,18432
A_r2,1800,0.8636127710342407,0.9116978645324707,18432
A_r2,2000,0.8771029710769653,0.8842514157295227,18432
A_r2,2200,0.8644164800643921,0.8935503363609314,18432
A_r2,2400,0.8555625081062317,0.8876285552978516,18432
A_r2,2600,0.8750109076499939,0.9047662615776062,18432
A_r2,2800,0.8635337948799133,0.9042801856994629,18432
A_r2,3000,0.8498079776763916,0.8888254761695862,18432
task A_r2 time: 7.96 min

A_r4,1000,3.8440914154052734,3.7274961471557617,36864
A_r4,1200,1.008231520652771,1.0155060291290283,36864
A_r4,1400,0.8798650503158569,0.929108738899231,36864
A_r4,1600,0.8885225653648376,0.9073483347892761,36864
A_r4,1800,0.8568587303161621,0.9006097316741943,36864
A_r4,2000,0.8606442809104919,0.8934100270271301,36864
A_r4,2200,0.8366526961326599,0.8833790421485901,36864
A_r4,2400,0.8444238305091858,0.8748520612716675,36864
A_r4,2600,0.8480077981948853,0.8773448467254639,36864
A_r4,2800,0.8149710893630981,0.8949461579322815,36864
A_r4,3000,0.8352936506271362,0.858791708946228,36864
task A_r4 time: 5.6 min


A_r8,1000,3.7971978187561035,3.7452802658081055,73728
A_r8,1200,0.9865678548812866,1.0178731679916382,73728
A_r8,1400,0.8846004009246826,0.9141017198562622,73728
A_r8,1600,0.8436520099639893,0.8918797373771667,73728
A_r8,1800,0.840287983417511,0.8758262395858765,73728
A_r8,2000,0.8331990242004395,0.8692861795425415,73728
A_r8,2200,0.8038694858551025,0.8788599371910095,73728
A_r8,2400,0.8157146573066711,0.8953478932380676,73728
A_r8,2600,0.8016055226325989,0.8611878156661987,73728
A_r8,2800,0.8003625273704529,0.8585746884346008,73728
A_r8,3000,0.7984742522239685,0.8664757013320923,73728
task A_r8 time: 6.1 min

A_r16,1000,3.822456121444702,3.717087984085083,147456
A_r16,1200,0.9891044497489929,1.0064444541931152,147456
A_r16,1400,0.8747628927230835,0.9156323075294495,147456
A_r16,1600,0.8568518757820129,0.9073960781097412,147456
A_r16,1800,0.8244996070861816,0.9055755138397217,147456
A_r16,2000,0.8197934627532959,0.8731363415718079,147456
A_r16,2200,0.822793185710907,0.8698666095733643,147456
A_r16,2400,0.8054513335227966,0.8637660145759583,147456
A_r16,2600,0.782305896282196,0.8759419918060303,147456
A_r16,2800,0.7758641242980957,0.8542940020561218,147456
A_r16,3000,0.7552505731582642,0.8578510284423828,147456
task Ar16 time: 9.4 min

📊 FINAL RESULTS Accuracy:
----------------------------------------

ckpt_A_r8.pt    -> 0.1427
ckpt_A_r16.pt   -> 0.1389
ckpt_A_r1.pt    -> 0.1236
ckpt_A_r4.pt    -> 0.1224
ckpt_A_r2.pt    -> 0.0981
