found vocab_size = 67 (inside data/shakespeare_char_sft_A/meta.pkl)
Resuming training from out
number of parameters: 10.65M
Applying LoRA (PEFT)...
trainable params before lora: 10696704
trainable params after lora: 147456
/Users/rabiaciftci/Desktop/NLP/A.NLP./nanogpt-lora/nanoGPT/train.py:240: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_cuda)
num decayed parameter tensors: 12, with 147,456 parameters
num non-decayed parameter tensors: 0, with 0 parameters
using fused AdamW: False
[CSV] logged step 1000 for A_r16
step 1000: train loss 3.8225, val loss 3.7171
saving checkpoint to out
iter 1000: loss 3.5456, time 1222.18ms, mfu -100.00%
iter 1010: loss 3.3205, time 140.25ms, mfu 0.64%
iter 1020: loss 3.1945, time 140.15ms, mfu 0.64%
iter 1030: loss 2.6586, time 140.16ms, mfu 0.64%
iter 1040: loss 2.3141, time 140.60ms, mfu 0.64%
iter 1050: loss 2.0584, time 140.71ms, mfu 0.64%
iter 1060: loss 1.8952, time 140.94ms, mfu 0.64%
iter 1070: loss 1.7287, time 145.20ms, mfu 0.64%
iter 1080: loss 1.6800, time 140.06ms, mfu 0.64%
iter 1090: loss 1.5201, time 141.39ms, mfu 0.64%
iter 1100: loss 1.3022, time 142.87ms, mfu 0.64%
iter 1110: loss 1.3471, time 141.52ms, mfu 0.64%
iter 1120: loss 1.1703, time 140.96ms, mfu 0.64%
iter 1130: loss 1.1761, time 142.17ms, mfu 0.64%
iter 1140: loss 1.0773, time 140.95ms, mfu 0.64%
iter 1150: loss 1.1242, time 142.16ms, mfu 0.63%
iter 1160: loss 1.1515, time 140.22ms, mfu 0.64%
iter 1170: loss 1.1384, time 142.55ms, mfu 0.63%
iter 1180: loss 1.1145, time 141.69ms, mfu 0.63%
iter 1190: loss 1.0039, time 141.19ms, mfu 0.63%
[CSV] logged step 1200 for A_r16
step 1200: train loss 0.9891, val loss 1.0064
saving checkpoint to out
iter 1200: loss 0.8968, time 1037.52ms, mfu 0.58%
iter 1210: loss 1.0499, time 142.33ms, mfu 0.58%
iter 1220: loss 0.9473, time 142.05ms, mfu 0.59%
iter 1230: loss 0.9533, time 142.66ms, mfu 0.59%
iter 1240: loss 0.8919, time 142.12ms, mfu 0.60%
iter 1250: loss 0.9579, time 147.68ms, mfu 0.60%
iter 1260: loss 0.9140, time 142.21ms, mfu 0.60%
iter 1270: loss 0.8548, time 143.57ms, mfu 0.60%
iter 1280: loss 0.8642, time 142.25ms, mfu 0.61%
iter 1290: loss 1.0884, time 144.07ms, mfu 0.61%
iter 1300: loss 0.9682, time 147.75ms, mfu 0.61%
iter 1310: loss 0.9536, time 164.73ms, mfu 0.60%
iter 1320: loss 0.9353, time 145.39ms, mfu 0.60%
iter 1330: loss 0.9206, time 163.14ms, mfu 0.60%
iter 1340: loss 0.8113, time 151.36ms, mfu 0.60%
iter 1350: loss 0.8599, time 151.54ms, mfu 0.60%
iter 1360: loss 0.8545, time 142.09ms, mfu 0.60%
iter 1370: loss 0.8081, time 142.25ms, mfu 0.60%
iter 1380: loss 0.8835, time 143.82ms, mfu 0.61%
iter 1390: loss 0.9356, time 144.02ms, mfu 0.61%
[CSV] logged step 1400 for A_r16
step 1400: train loss 0.8748, val loss 0.9156
saving checkpoint to out
iter 1400: loss 0.9914, time 1068.46ms, mfu 0.55%
iter 1410: loss 0.8364, time 144.81ms, mfu 0.56%
iter 1420: loss 0.9482, time 147.18ms, mfu 0.57%
iter 1430: loss 0.8153, time 143.62ms, mfu 0.57%
iter 1440: loss 0.7929, time 179.82ms, mfu 0.56%
iter 1450: loss 0.9928, time 147.44ms, mfu 0.57%
iter 1460: loss 0.9217, time 165.86ms, mfu 0.57%
iter 1470: loss 0.8676, time 151.90ms, mfu 0.57%
iter 1480: loss 0.7830, time 147.26ms, mfu 0.57%
iter 1490: loss 0.8654, time 146.32ms, mfu 0.58%
iter 1500: loss 0.9777, time 149.42ms, mfu 0.58%
iter 1510: loss 0.8948, time 145.12ms, mfu 0.58%
iter 1520: loss 0.8449, time 148.46ms, mfu 0.58%
iter 1530: loss 1.0315, time 146.23ms, mfu 0.59%
iter 1540: loss 0.9184, time 144.46ms, mfu 0.59%
iter 1550: loss 0.8302, time 149.19ms, mfu 0.59%
iter 1560: loss 0.8713, time 146.27ms, mfu 0.59%
iter 1570: loss 0.8964, time 146.65ms, mfu 0.60%
iter 1580: loss 0.7094, time 145.71ms, mfu 0.60%
iter 1590: loss 0.8679, time 148.79ms, mfu 0.60%
[CSV] logged step 1600 for A_r16
step 1600: train loss 0.8569, val loss 0.9074
saving checkpoint to out
iter 1600: loss 1.0365, time 1076.26ms, mfu 0.55%
