found vocab_size = 67 (inside data/shakespeare_char_sft_A/meta.pkl)
Resuming training from out
number of parameters: 10.65M
Applying LoRA (PEFT)...
trainable params before lora: 10696704
trainable params after lora: 9216
/Users/rabiaciftci/Desktop/NLP/A.NLP./nanogpt-lora/nanoGPT/train.py:240: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_cuda)
num decayed parameter tensors: 12, with 9,216 parameters
num non-decayed parameter tensors: 0, with 0 parameters
using fused AdamW: False
[CSV] logged step 1000 for A_r1
step 1000: train loss 3.7901, val loss 3.7365
saving checkpoint to out
iter 1000: loss 3.9768, time 1620.78ms, mfu -100.00%
iter 1010: loss 3.3948, time 138.74ms, mfu 0.64%
iter 1020: loss 3.0425, time 138.85ms, mfu 0.64%
iter 1030: loss 2.6118, time 139.33ms, mfu 0.64%
iter 1040: loss 2.3220, time 139.69ms, mfu 0.64%
iter 1050: loss 2.3453, time 139.71ms, mfu 0.64%
iter 1060: loss 1.9348, time 138.92ms, mfu 0.64%
iter 1070: loss 1.9283, time 139.46ms, mfu 0.64%
iter 1080: loss 1.7801, time 139.30ms, mfu 0.64%
iter 1090: loss 1.7068, time 139.84ms, mfu 0.64%
iter 1100: loss 1.4989, time 139.49ms, mfu 0.64%
iter 1110: loss 1.3679, time 139.28ms, mfu 0.64%
iter 1120: loss 1.3458, time 139.58ms, mfu 0.64%
iter 1130: loss 1.3738, time 139.87ms, mfu 0.64%
iter 1140: loss 1.3430, time 143.87ms, mfu 0.63%
iter 1150: loss 1.1496, time 140.33ms, mfu 0.63%
iter 1160: loss 1.0515, time 140.00ms, mfu 0.63%
iter 1170: loss 1.0890, time 139.98ms, mfu 0.63%
iter 1180: loss 1.2807, time 139.63ms, mfu 0.63%
iter 1190: loss 1.0375, time 138.70ms, mfu 0.63%
[CSV] logged step 1200 for A_r1
step 1200: train loss 1.0786, val loss 1.0811
saving checkpoint to out
iter 1200: loss 1.1862, time 1029.86ms, mfu 0.58%
iter 1210: loss 1.1692, time 141.24ms, mfu 0.58%
iter 1220: loss 0.9236, time 139.48ms, mfu 0.59%
iter 1230: loss 1.0844, time 140.34ms, mfu 0.59%
iter 1240: loss 1.0750, time 140.35ms, mfu 0.60%
iter 1250: loss 1.1437, time 139.72ms, mfu 0.60%
iter 1260: loss 1.0011, time 140.71ms, mfu 0.60%
iter 1270: loss 0.8963, time 141.23ms, mfu 0.61%
iter 1280: loss 0.9931, time 139.87ms, mfu 0.61%
iter 1290: loss 0.9742, time 140.46ms, mfu 0.61%
iter 1300: loss 1.1672, time 139.73ms, mfu 0.61%
iter 1310: loss 0.9612, time 139.66ms, mfu 0.62%
iter 1320: loss 0.9394, time 140.07ms, mfu 0.62%
iter 1330: loss 0.8306, time 140.04ms, mfu 0.62%
iter 1340: loss 0.9921, time 140.16ms, mfu 0.62%
iter 1350: loss 1.1545, time 140.15ms, mfu 0.62%
iter 1360: loss 1.1067, time 139.70ms, mfu 0.62%
iter 1370: loss 0.9521, time 140.53ms, mfu 0.62%
iter 1380: loss 0.8789, time 140.91ms, mfu 0.62%
iter 1390: loss 0.9365, time 140.66ms, mfu 0.62%
[CSV] logged step 1400 for A_r1
step 1400: train loss 0.9422, val loss 1.0002
saving checkpoint to out
iter 1400: loss 0.9340, time 1001.58ms, mfu 0.57%
iter 1410: loss 0.8863, time 140.31ms, mfu 0.58%
iter 1420: loss 0.8277, time 141.90ms, mfu 0.58%
iter 1430: loss 0.8953, time 141.31ms, mfu 0.59%
iter 1440: loss 1.0028, time 141.34ms, mfu 0.59%
iter 1450: loss 0.8814, time 141.17ms, mfu 0.59%
iter 1460: loss 0.9618, time 139.77ms, mfu 0.60%
iter 1470: loss 1.0347, time 140.68ms, mfu 0.60%
iter 1480: loss 1.0012, time 141.87ms, mfu 0.60%
iter 1490: loss 0.9405, time 143.64ms, mfu 0.60%
iter 1500: loss 0.8992, time 139.64ms, mfu 0.61%
iter 1510: loss 0.8949, time 142.13ms, mfu 0.61%
iter 1520: loss 0.9016, time 143.42ms, mfu 0.61%
iter 1530: loss 1.0031, time 141.09ms, mfu 0.61%
iter 1540: loss 1.1308, time 140.29ms, mfu 0.61%
iter 1550: loss 0.9618, time 139.88ms, mfu 0.62%
iter 1560: loss 1.0661, time 139.82ms, mfu 0.62%
iter 1570: loss 0.9364, time 139.41ms, mfu 0.62%
iter 1580: loss 0.9167, time 140.51ms, mfu 0.62%
iter 1590: loss 0.9703, time 141.05ms, mfu 0.62%
[CSV] logged step 1600 for A_r1
step 1600: train loss 0.9296, val loss 0.9569
saving checkpoint to out
iter 1600: loss 0.9299, time 1086.60ms, mfu 0.57%
